username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
eecontractingllc,"E & E Contracting",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
tom.weed.homehub,"Tom Weed",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
indie_therescuehorse,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
beersnobbob,"BeerSnob Bob",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
darlingvikki,"Vicki Guiliano",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
bossgirlpriyankapadwalkar,"Priyanka Omkar Padwalkar",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jasonwegfahrt.jpg,"Jason Wegfahrt",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
aurealear,"Aurea Lear",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
hollyfeltenberger,"Holly Feltenberger",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
absolutelyapropos_,"Absolutely Apropos",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
robhusty,"Rob Husty",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
scottahile,"Scott Hile",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
hallowone15,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
marta.storm,"Marta Balazs Storm",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
badleesofficial,"badleesofficial",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
nykevanwy,"Ny Kevawn",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
betheone80,"Beth Kile",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
chrissyfactor,"Chrissy Factor",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
mrhines,"Mr.Hines",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
genie_vibes,"Genie",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
kevinfitness17,"Kevin Fitness 17",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
cowardcottage,"Coward Cottage",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
indigofoxfilms,"IndigoFox Films",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
maryebethel,"Mary Ebethel",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
heidihooverphotography,"Heidi Hoover Photography",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
gatorlion1,"Gatorlion",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
crazyjules86,"Jules",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
olivia_may_xo,"Olivia May",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
juliemontgomeryjones,"Julie Montgomery Jones",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
wendyelser,"Wendy B Els",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
cody__fights,"Cody Russell",yes,no,0,0,0,yes,yes,5,"no posts; only 0 followers; no bio",yes,real_audience,KEEP
quickcarepropertyservices,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
